comment,clean_comment,sentiment,score
"nyesal milih probowo,,, udah pak presiden urus aja negara kita sendiri",nyesal milih probowo udah pak presiden urus aja negara kita sendiri,Negative,-1
"Bisa bisanya ada presiden yg tampilan nya kaya  Soekarno, yg sangat2 haus validasi",bisa bisanya ada presiden yg tampilan nya kaya  soekarno yg sangat haus validasi,Neutral,0
Indonesia mlh diJadikn pion Israel,indonesia mlh dijadikn pion israel,Neutral,0
Sakit hati orang Indonesia lihat Israel Indonesia Amerika duduk bersama,sakit hati orang indonesia lihat israel indonesia amerika duduk bersama,Neutral,0
kayak orang bingung ga ada wibawanya...,kayak orang bingung ga ada wibawanya,Neutral,0
Ciri2 manusia yg punya nyali itu gk banyak omon2..,ciri manusia yg punya nyali itu gk banyak omon,Neutral,0
"Prabowo bela2in mau jd kacung Trump demi Indonesia guys, ini pengorbanan marwah yg mengharukan...<br>Kasihan Pak Prabowo.",prabowo belain mau jd kacung trump demi indonesia guys ini pengorbanan marwah yg mengharukankasihan pak prabowo,Neutral,0
"HaiiiLL Kaum Munafikuuunnn.. HaiiiLLL Antek2 ASSEEENNNGGGG.. <a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>",haiiill kaum munafikuuunnn haiiilll antek asseeennngggg ,Neutral,0
Heiii antek antek aseeeeng😂,heiii antek antek aseeeeng,Neutral,0
Bahkan Presiden Pertama Indonesia ga Sudi mengakui negara Israel..ini malah duduk bareng ngopi sambil nyebat bareng..kalo bapak takut rakyat kenapa&quot; ajarin kami WAMIL pak DEMI ALLAH saya ga terima Bendera Merah Putih berkibar sejajar sama bendera penjajah Israel.,bahkan presiden pertama indonesia ga sudi mengakui negara israelini malah duduk bareng ngopi sambil nyebat barengkalo bapak takut rakyat kenapaquot ajarin kami wamil pak demi allah saya ga terima bendera merah putih berkibar sejajar sama bendera penjajah israel,Neutral,0
udh di pilih jadi penghianat rakyat rupa nya. .. aseng aseng sekarang jadi babu asing,udh di pilih jadi penghianat rakyat rupa nya  aseng aseng sekarang jadi babu asing,Neutral,0
disuruh pegang map hati saya sakit,disuruh pegang map hati saya sakit,Neutral,0
"<a href=""https://www.youtube.com/watch?v=_0eSyCd4nrs&amp;t=173"">2:53</a> Mau-mau nya Pak disuruh Pegangin Map... Lihat gesture dr Donal Bebek sangat2 merendahkan mu Pak.. mau dikemanakan wajah Negeri ini..<br><br>SEGERA KELUAR DARI BOARD OF WAR", maumau nya pak disuruh pegangin map lihat gesture dr donal bebek sangat merendahkan mu pak mau dikemanakan wajah negeri inisegera keluar dari board of war,Neutral,0
Antek2 aSing katanyaa,antek asing katanyaa,Neutral,0
Anda layak jadi presiden terbaik seluruh dunia,anda layak jadi presiden terbaik seluruh dunia,Positive,1
Luar biasa,luar biasa,Neutral,0
"Seluruh rakyat indonesia terlecehkan gara2 beliau, semakin tua kok semakin jd penakut....",seluruh rakyat indonesia terlecehkan gara beliau semakin tua kok semakin jd penakut,Neutral,0
Selamat anda sudah berhasil mengikuti siasat dajjal.,selamat anda sudah berhasil mengikuti siasat dajjal,Neutral,0
Dikelilingi buzzer cik woilah😹😹,dikelilingi buzzer cik woilah,Neutral,0
Duit rakyat dikasihkan ke Trump....haram dan tidak ikhlas..... tanpa persetujuan rakyat...haram dan haram.,duit rakyat dikasihkan ke trumpharam dan tidak ikhlas tanpa persetujuan rakyatharam dan haram,Positive,1
😂,,Neutral,0
Bort of face adalah program/organisasi kedok mamarika yg mengatasnamakan kemanusiaan...... presiden Rusia jauh lebih hebat karna ga mau gabung aliansi mamarika yg ada Israel nya...Rusia mau gabung kalo dalam organisasi tersebut ada negara Palestina ini ga ada .....tapi presiden Indonesia malah dengan bangga satu meja sama babi Israel,bort of face adalah programorganisasi kedok mamarika yg mengatasnamakan kemanusiaan presiden rusia jauh lebih hebat karna ga mau gabung aliansi mamarika yg ada israel nyarusia mau gabung kalo dalam organisasi tersebut ada negara palestina ini ga ada tapi presiden indonesia malah dengan bangga satu meja sama babi israel,Positive,2
Jangan harap jadi presiden lagi di 2029 sebagai pendukung saya murka sama penghianat,jangan harap jadi presiden lagi di  sebagai pendukung saya murka sama penghianat,Neutral,0
"Awalnya saya optimis dng BOP namun setelah AS menyerang Iran saya jd berpikir kenapa setelah BOP ditanda tangani &amp; memuji Presiden Prabowo setinggi langit ( pasti ada maunya), tdk lama kmdn Trump menyerang Iran, jangan jangan itu memang strategi Trump menunggu saat yg tepat u/ menyerang.<br>Begitu bop di TT, tdk menunggu wkt lama setelahnya, semua disikat habis. Pasti mrk sdh menyiapkan strategi tsb dng matang. Disini kita menyadari bhw posisi Indonesia &quot;Sangat Menentukan&quot;. Niat Pres.kita bertujuan baik u/ mengerem arogansi &amp; kekacauan dunia.<br>Sebetulnya agak mengecewakan, AS yg menggagas, AS pula yg melanggar komitmen, tdk konsekuen, tdk pakai mikir dampaknya bagi dunia. Visi misi bop itu apa sih?<br>Semoga Tuhan tetap menolong Bangsa Indonesia atas niat baik &amp; ketulusan Presiden kita.<br>Rancangan Tuhan bukanlah rancangan manusia.",awalnya saya optimis dng bop namun setelah as menyerang iran saya jd berpikir kenapa setelah bop ditanda tangani amp memuji presiden prabowo setinggi langit  pasti ada maunya tdk lama kmdn trump menyerang iran jangan jangan itu memang strategi trump menunggu saat yg tepat u menyerangbegitu bop di tt tdk menunggu wkt lama setelahnya semua disikat habis pasti mrk sdh menyiapkan strategi tsb dng matang disini kita menyadari bhw posisi indonesia quotsangat menentukanquot niat preskita bertujuan baik u mengerem arogansi amp kekacauan duniasebetulnya agak mengecewakan as yg menggagas as pula yg melanggar komitmen tdk konsekuen tdk pakai mikir dampaknya bagi dunia visi misi bop itu apa sihsemoga tuhan tetap menolong bangsa indonesia atas niat baik amp ketulusan presiden kitarancangan tuhan bukanlah rancangan manusia,Positive,1
Fokus pada kemajuan bangsa melalui dukungan program MBG dan BOP; jangan terpengaruh permainan yang merusak kesatuan,fokus pada kemajuan bangsa melalui dukungan program mbg dan bop jangan terpengaruh permainan yang merusak kesatuan,Positive,1
Cuih anjiing ko bisa2 nya di si omon,cuih anjiing ko bisa nya di si omon,Neutral,0
Boneka,boneka,Neutral,0
"kesini gegara liat di medsos sebelah, mao mastiib beneran apa editan, ooh ternyata beneran ya di suruh bawain map...",kesini gegara liat di medsos sebelah mao mastiib beneran apa editan ooh ternyata beneran ya di suruh bawain map,Neutral,0
Sejauh ini cuman dia yg makin jauh 😂😂😂,sejauh ini cuman dia yg makin jauh ,Neutral,0
Para pejabat sudah tradisi Mengabaikan kritikan hinaan <br><br>Bukan mencari solusi apa sebab itu terjadi .<br><br>Meraka tegak lurus dgn tujuan sendiri tanpa melibatkan saran kemauan rakyat yg sebenarnya,para pejabat sudah tradisi mengabaikan kritikan hinaan bukan mencari solusi apa sebab itu terjadi meraka tegak lurus dgn tujuan sendiri tanpa melibatkan saran kemauan rakyat yg sebenarnya,Neutral,0
Setahu saya pak Bowo bilang kalau mau nyerang Iran Berhadapan dengan saya ... Gimana itu tanggapanya ...itu pak orang yg nyerang sudah ada di hadapan bapak,setahu saya pak bowo bilang kalau mau nyerang iran berhadapan dengan saya  gimana itu tanggapanya itu pak orang yg nyerang sudah ada di hadapan bapak,Neutral,0
Sampai bertemu di akhirat wowo🙃,sampai bertemu di akhirat wowo,Neutral,0
Nyesal pilih prabowo di pilpres kemarin,nyesal pilih prabowo di pilpres kemarin,Negative,-1
BOARD OF PEACE <br>Forum gerakan penjajah mengumpulkan dana dan dukungan dari para pemimpin dunia.<br>Berkedok Membela Perdamaian Dunia,board of peace forum gerakan penjajah mengumpulkan dana dan dukungan dari para pemimpin duniaberkedok membela perdamaian dunia,Neutral,0
Negara yg paling besar jugax Rusia juga gax percaya sama as jugax,negara yg paling besar jugax rusia juga gax percaya sama as jugax,Neutral,0
Wadu as mah jaga percaya,wadu as mah jaga percaya,Neutral,0
